coin_parse,coin_time,coin_value,update_time
BNB,2018-09-18,9.54406,2022-03-26
BNB,2018-09-19,9.61909,2022-03-26
BNB,2018-09-20,10.0745,2022-03-26
BNB,2018-09-21,10.4108,2022-03-26
BNB,2018-09-22,10.245,2022-03-26
BNB,2018-09-23,10.2806,2022-03-26
BNB,2018-09-24,10.0359,2022-03-26
BNB,2018-09-25,9.78316,2022-03-26
BNB,2018-09-26,9.73663,2022-03-26
BNB,2018-09-27,10.0312,2022-03-26
BNB,2018-09-28,9.96934,2022-03-26
BNB,2018-09-29,9.99914,2022-03-26
BNB,2018-09-30,10.0178,2022-03-26
BNB,2018-10-01,9.94366,2022-03-26
BNB,2018-10-02,10.3568,2022-03-26
BNB,2018-10-03,10.2712,2022-03-26
BNB,2018-10-04,10.2556,2022-03-26
BNB,2018-10-05,10.6362,2022-03-26
BNB,2018-10-06,10.3721,2022-03-26
BNB,2018-10-07,10.519,2022-03-26
BNB,2018-10-08,10.5066,2022-03-26
BNB,2018-10-09,10.3849,2022-03-26
BNB,2018-10-10,10.328,2022-03-26
BNB,2018-10-11,9.30132,2022-03-26
BNB,2018-10-12,9.52894,2022-03-26
BNB,2018-10-13,9.54036,2022-03-26
BNB,2018-10-14,9.49674,2022-03-26
BNB,2018-10-15,10.3161,2022-03-26
BNB,2018-10-16,10.0109,2022-03-26
BNB,2018-10-17,9.90447,2022-03-26
BNB,2018-10-18,9.71658,2022-03-26
BNB,2018-10-19,9.76675,2022-03-26
BNB,2018-10-20,9.75463,2022-03-26
BNB,2018-10-21,9.7433,2022-03-26
BNB,2018-10-22,9.72685,2022-03-26
BNB,2018-10-23,9.80308,2022-03-26
BNB,2018-10-24,9.74532,2022-03-26
BNB,2018-10-25,9.69228,2022-03-26
BNB,2018-10-26,9.70268,2022-03-26
BNB,2018-10-27,9.65445,2022-03-26
BNB,2018-10-28,9.66679,2022-03-26
BNB,2018-10-29,9.40262,2022-03-26
BNB,2018-10-30,9.38704,2022-03-26
BNB,2018-10-31,9.36496,2022-03-26
BNB,2018-11-01,9.54922,2022-03-26
BNB,2018-11-02,9.57308,2022-03-26
BNB,2018-11-03,9.53021,2022-03-26
